,collection,shelfmark,testimony_title
0,USHMM,RG-50.030*0184,Oral history interview with Esther Terner Raab
1,USHMM,RG-50.030*0042,Oral history interview with Charles Bruml
2,USHMM,RG-50.030*0094,Oral history interview with Max Amichai Heppner
3,USHMM,RG-50.030*0753,Oral history interview with David Halivni
4,USHMM,RG-50.030*0098,Oral history interview with Miriam Farcus Ingber
5,USHMM,RG-50.106*0173,Oral history interview with Alfred Lakritz
6,USHMM,RG-50.030*0475,Oral history interview with Paulette Nehama
7,USHMM,RG-50.156*0012,Oral history interview with Paulette Fink
8,USHMM,RG-50.031*0075,Oral history interview with Mark Weinberg
9,USHMM,RG-50.106*0118,Oral history interview with Hannah Kalman
10,USHMM,RG-50.030*0546,Oral history interview with Eva Brettler
11,USHMM,RG-50.030*0790,Oral history interview with Irene Sobczak
12,USHMM,RG-50.106*0128,Oral history interview with Henry Greenbaum
13,USHMM,RG-50.030*0072,Oral history interview with Anita Magnus Frank
14,USHMM,RG-50.030*0459,Oral history interview with George Kadar
15,USHMM,RG-50.470*0008,Oral history interview with Irving Heymont
16,USHMM,RG-50.462*0102,Oral history interview with Hebert Broh
17,USHMM,RG-50.030*0015,Oral history interview with Helene Baraf
18,USHMM,RG-50.165*0016,Oral history interview with Irena Urdang DeTour
19,USHMM,RG-50.470*0011,Oral history interview with Henry Kanner
20,USHMM,RG-50.030*0672,Oral history interview with Ed Gardner
21,USHMM,RG-50.562*0005,Oral history interview with Mark Moskovitz
22,USHMM,RG-50.060*0008,Oral history interview with Fred Blau
23,USHMM,RG-50.233*0119,Oral history interview with Norman Salsitz
24,USHMM,RG-50.462*0118,Oral history interview with Albert Miller
25,USHMM,RG-50.462*0081,Oral history interview with Judy Freeman
26,USHMM,RG-50.030*0082,Oral history interview with Rachel Mutterperl Goldfarb
27,USHMM,RG-50.010*0040,Oral history interview with John Glustrom
28,USHMM,RG-50.322*0005,Oral history interview with Margaret Ebert
29,USHMM,RG-50.030*0183,Oral history interview with Karel Poons
30,USHMM,RG-50.150*0012,Oral history interview with Ernest Hartog
31,USHMM,RG-50.549.02*0027,Oral history interview with Jerry Slivka
32,USHMM,RG-50.030*0408,Oral history interview with John E. Dolibois
33,USHMM,RG-50.322*0003,Oral history interview with Werner Becker
34,USHMM,RG-50.243*0025,Oral history interview with Cecelia Perera
35,USHMM,RG-50.030*0158,Oral history interview with Frank Meissner
36,USHMM,RG-50.030*0227,Oral history interview with Paul Strassmann
37,USHMM,RG-50.010*0058,Oral history interview with James May
