original_form,final_form
Birkenau,Auschwitz II-Birkenau
"122,Block 10 (Auschwitz",Auschwitz
"""Danzig, Schichau-Werft""","Danzig, Schichau-Werft"
Heinkel-Werke Oranienburg,Oranienburg-Heinkelwerke
Oranienburg Heinkel-Werke,Oranienburg-Heinkelwerke
Kampor--Rab,Kampor-Rab
Tul'chin,Tulchyn
Mogilev-Podol'skii,Mogilev-Podolkski
Monowitz,Auschwitz III-Monowitz
Sasel,Hamburg-Sasel
Prokocim,Krakau-Prokocim
Sackisch,Kudowa-Sackisch
Dora,Mittelbau-Dora
Allach,München-Allach
Kaiserwald,Riga-Kaiserwald
Plaszów,Krakau-Plaszow
Augsburg Messerschmitt,Augsburg-Messerschmitt
Auschwitz Monowitz,Auschwitz III-Monowitz
Blechhammer E/3,Blechhammer
Kanada I,Auschwitz
L.L. Hamburg Neuengamme SS-Arbeitslager A3,Neuengamme
Magdeburg Brabag,Magdeburg-Brabag
Natzweiler,Natzweiler-Struthof
Struthof,Natzweiler-Struthof
