variants,final_version
Litomerice|Litoměřice|Litoměrice,Litoměřice
Birnbäumel|Birnbäumel,Birnbäumel
Ravensbrück|Ravensbrück,Ravensbrück
Faulbrück|Faulbrück,Faulbrück
Gross Rosen|Gross-Rosen,Gross-Rosen
Skarzysko-Kamienna|Skarżysko-Kamienna|Skarżysko-Kamienna,Skarzysko-Kamienna
Czestochowa|Częstochowa,Czestochowa
Mühldorf|Mühldorf,Mühldorf
Maerzdorf|Merzdorf,Merzdorf
Plaszów|Płaszów|Płaszów|,Plaszów
Sered|Sereď,Sered
Sobibór|Sobibór,Sobibór
Sosnowiec|Sosnowitz,Sosnowiec
Königs Wusterhausen|Königs Wusterhausen,Königs Wusterhausen
Brünnlitz|Brünnlitz,Brünnlitz
Markstädt|Markstädt,Markstädt
Flossenbürg|Flossenbürg,Flossenbürg
Bačka Topola|Bačka Topola,Bačka Topola
Janowska|Janowski,Janowska
Stuthoff|Stutthof,Stutthof
