variants,final_version
Bedzin|Będzin|Będzin,Będzin
Zhmerinka|Zhmerynka,Zhmerynka
Rzeszów|Rzeszów,Rzeszów
Stryj|Stryĭ,Stryi
Pruzana|Prużana,Pruzhany
L'viv|Lʹvov,Lviv
Bielsko Biala|Bielsko-Biala,Bielsko-Biała
Chernivtsi|Chernvtsi,Chernivtsi
Liepaja|Liepāja,Liepāja
Ostroh|Ostróg,Ostroh
Mlawa|Mława,Mława
Nyiregyhaza|Nyíregyháza,Nyíregyháza
Lubaczów|Lubartów,Lubartów
Bialystok|Białystok,Białystok
Lódz|Lódź|Łódź|Łódź|Łódź|Łódź,Łódź
Radun|Radun',Raduň
Chust|Khust,Khust
Pruzana|Pruzhany,Pruzhany
Grodno|Hrodna,Grodno
Riga|Rīga,Riga
Miedzyrzec|Miedzyrzecz,Międzyrzecz
Bershad ̓|Bershad',Bershad
Berehove|Berehovo,Berehove
Uzhhorod|Uzhorod,Uzhhorod
Czestochowa|Częstochowa,Częstochowa
Pruzana|Pruzhany|Prużana,Pruzhany
Buchach|Buczacz,Buchach
Tuchyn|Tuczyn,Tuchyn
Kovel'|Kowel,Kovel
Drohobych|Drohobycz,Drohobych
Plonsk|Plońsk,Płońsk
Przemysl|Przemyśl,Przemyśl
Kraków|Kraków,Kraków
Radun|Radun,Raduň
Chrzanów|Chrzanów,Chrzanów
Siauliai|Šiauliai|Šiauliai,Šiauliai
Kosice|Košice,Košice
