,collection,interviewee_name,shelfmark,surname
0,USHMM,Erwin (Froim),RG-50.549.01*0007,(Froim)
1,USHMM,Erwin (Froim),RG-50.030*0016,(Froim)
2,USHMM,Major Ernest C. James (Ret.),RG-50.030*0100,(Ret.)
3,USHMM,Teofil (Stefan),RG-50.030*0355,(Stefan)
4,USHMM,Anatoly A.,RG-50.405*0001,A.
5,USHMM,Elizabeth A.,RG-50.344*0003,A.
6,USHMM,Wallace A.,RG-50.030*0254,A.
7,USHMM,Lia A.,RG-50.405*0004,A.
8,USHMM,Phyllis A.,RG-50.344*0009,A.
9,USHMM,David A.,RG-50.030*0001,A.
10,USC Shoah Foundation,Frieda Aaron,802,Aaron
11,USC Shoah Foundation,Cornelia Aaron-Swaab,5103,Aaron-Swaab
12,USC Shoah Foundation,Boris Abel,5516,Abel
13,USC Shoah Foundation,Erno Abelesz,4710,Abelesz
14,USC Shoah Foundation,Eva Abraham-Podietz,321,Abraham-Podietz
15,USC Shoah Foundation,Edith Abrahams,4670,Abrahams
16,USC Shoah Foundation,Joseph Abrahams,18068,Abrahams
17,USC Shoah Foundation,Selien Abram,17330,Abram
18,USHMM,Helen Abramovitz,RG-50.322*0001,Abramovitz
19,USHMM,Henry Abramowicz,RG-50.156*0001,Abramowicz
20,USC Shoah Foundation,Fela Abramowicz,25114,Abramowicz
21,USC Shoah Foundation,Hy Abrams,14002,Abrams
22,USHMM,Sally Abrams,RG-50.462*0026,Abrams
23,USC Shoah Foundation,Walter Absil,18281,Absil
24,USHMM,Sam Ackos,RG-50.156*0002,Ackos
25,USHMM,Sam Ackos,RG-50.156*0003,Ackos
26,USC Shoah Foundation,Agnes Adachi,13833,Adachi
27,USHMM,Ms. Agnes M. Adachi,RG-50.549.01*0002,Adachi
28,USHMM,Ms. Agnes M. Adachi,RG-50.042*0002,Adachi
29,USHMM,Ms. Agnes M. Adachi,RG-50.462*0051,Adachi
30,USHMM,Yehuda Adam,RG-50.106*0062,Adam
31,USC Shoah Foundation,Zuzana Adam,14708,Adam
32,USHMM,Erica Van Adelsberg,RG-50.462*0024,Adelsberg
33,USHMM,Esthy Adler,RG-50.549.01*0003,Adler
34,USC Shoah Foundation,Alfred Adler,9024,Adler
35,USHMM,Mayer Adler,RG-50.030*0005,Adler
36,USHMM,Mayer Adler,RG-50.462*0028,Adler
