,interviewee_name,shelfmarks
0,Abraham Malnik,"[u'USHMM RG-50.030*0145', u'USHMM RG-50.042*0019']"
1,Amalie P. Salsitz,"[u'USHMM RG-50.549.02*0054', u'USHMM RG-50.030*0198']"
2,Anita M. Frank,"[u'USHMM RG-50.030*0072', u'USHMM RG-50.549.01*0017']"
3,Ann Callman,"[u'USHMM RG-50.150*0002', u'USHMM RG-50.150*0001']"
4,Anna Leiser-Kleinhaus,"[u'USHMM RG-50.030*0286', u'USHMM RG-50.549.01*0016']"
5,Arlette de Long,"[u'USHMM RG-50.233*0075', u'USHMM RG-50.106*0063', u'USHMM RG-50.029*0031']"
6,Aron Derman,"[u'USHMM RG-50.030*0299', u'USHMM RG-50.233*0020']"
7,Avraham Tory,"[u'USHMM RG-50.030*0315', u'USHMM RG-50.030*0234', u'USHMM RG-50.471*0013', u'USHMM RG-50.030*0316']"
8,Barbara Marton Farkas,"[u'USHMM RG-50.030*0070', u'USHMM RG-50.549.01*0008']"
9,Bella J. Tovey,"[u'USHMM RG-50.549.01*0011', u'USHMM RG-50.042*0028', u'USHMM RG-50.030*0236']"
10,Bella Mischkinsky,"[u'USHMM RG-50.030*0340', u'USHMM RG-50.549.02*0017']"
11,Beno Helmer,"[u'USHMM RG-50.549.02*0064', u'USHMM RG-50.030*0093']"
12,Blanka Rothschild,"[u'USHMM RG-50.549.02*0057', u'USHMM RG-50.030*0281', u'USHMM RG-50.549.03*0003']"
13,Boleslaw Brodecki,"[u'USHMM RG-50.549.02*0070', u'USHMM RG-50.030*0040', u'USHMM RG-50.470*0001']"
14,Carla H. Lessing,"[u'USHMM RG-50.549.02*0050', u'USHMM RG-50.030*0126']"
15,Cecilie Klein-Pollak,"[u'USHMM RG-50.549.02*0012', u'USHMM RG-50.042*0018']"
16,Chaim Engel,"[u'USHMM RG-50.030*0066', u'USHMM RG-50.042*0009', u'USC Shoah Foundation 7683']"
17,Cornelius Loen,"[u'USHMM RG-50.030*0137', u'USHMM RG-50.549.02*0056']"
