,collection,shelfmark,testimony_title
0,USHMM,RG-50.165*0093,Oral history interview with Manny Ragen and Shirley Ragen
1,USHMM,RG-50.156*0054,Oral history interview with Maria Speiwak and Danuta Trybus
2,USHMM,RG-50.030*0430,Oral history interview with Bert Fleming and Irene Fleming
3,USHMM,RG-50.165*0029,Oral history interview with Ben Geizhals and Esther Geizhals
4,USHMM,RG-50.030*0336,Oral history interview with Theodore Feder and Herbert Katzki
5,USHMM,RG-50.031*0056,Oral history interview with Ernest Pollack and Ilse Pollack
6,USHMM,RG-50.165*0102,Oral history interview with Albert Schimel and Helen Schimel
7,USHMM,RG-50.030*0535,"Oral history interview with Lucie Ragin, Joyce Mizrachi, and André Zalc"
8,USHMM,RG-50.030*0745,"Oral history interview with Frank Towers, ""The Death Train at Farsleben"""
9,USHMM,RG-50.165*0036,Oral history interview with Isaac Goodfriend and Betty Goodfriend
10,USHMM,RG-50.549.02*0014,Oral history interview with Chaim Engel and Selma Saartje Engel
11,USHMM,RG-50.156*0007,Oral history interview with Mary Ackos Calof and Evelyn Ackos Ettinger
12,USHMM,RG-50.165*0100,Oral history interview with Benjamin Rubinstein and Judy Rubinstein
13,USHMM,RG-50.165*0033,Oral history interview with Israel Goldman and Louis Goldman
14,USHMM,RG-50.165*0062,"Oral history interview with Yisroel Leifer, Izzy Raab, and Esther Raab"
15,USHMM,RG-50.028*0052,Oral history interview with Joseph Schoen and Mary Schoen
16,USHMM,RG-50.165*0081,Oral history interview with Sam Natansohn and Sidi Natansohn
17,USHMM,RG-50.165*0103,Oral history interview with Joe Schlesinger and Edith Schlesinger
18,USHMM,RG-50.165*0004,Oral history interview with Morris Berkowitz and Sarah Berkowitz
19,USHMM,RG-50.322*0011,Oral history interview with Robert Feist and Ruth Feist
20,USHMM,RG-50.030*0320,Oral history interview with Irene Hizme and Rene Slotkin
21,USHMM,RG-50.030*0221,Oral history interview with Adam Starkopf and Pela Starkopf
22,USHMM,RG-50.165*0132,Oral history interview with Jack Werber and Millie Werber
23,USHMM,RG-50.233*0056,Oral history interview with Irene Hizme and Rene Slotkin
24,USHMM,RG-50.165*0056,Oral history interview with Isaac Kowalski and Masha Kowalski
25,USHMM,RG-50.012*0071,Oral history interview with Marion Pritchard and Tony Pritchard
26,USHMM,RG-50.030*0382,Oral history interview with William Zeck and Belle Mayer Zeck
27,USHMM,RG-50.031*0061,Oral history interview with Ruth Rehbock and Ralph Rehbock
28,USHMM,RG-50.549.02*0015,Oral history interview with Johanna Liebmann and Max Liebmann
29,USHMM,RG-50.030*0687,"Oral history interview with Ernest E. Dutcher, Jr."
30,USHMM,RG-50.165*0111,Oral history interview with Maury Spira and Sylvia Spira
31,USHMM,RG-50.234*0022,"Oral history interview with Arieh Pinchuk, Dan Hiram, and Daniel Dagen"
32,USHMM,RG-50.031*0065,"Oral history interview with Hannelore Silverman, Sol Schindel, and several unnamed people"
33,USHMM,RG-50.030*0446,Oral history interview with Helen Tichauer and Anna Palarczyk
34,USHMM,RG-50.165*0053,Oral history interview with Morris Kesselman and Rita Kesselman
35,USHMM,RG-50.030*0315,Oral history interview with Joel Elkes and Avraham Tory
36,USHMM,RG-50.005*0019,"Oral history group interview with Barbara Gerson, Barry Bruk, Marion Chervin, Sophie Weinstein, and Fred Diament"
37,USHMM,RG-50.165*0137,Oral history interview with Albert Zeder and Naomi Zeder
38,USHMM,RG-50.165*0049,Oral history interview with Salomon Jakubowicz and Frieda Jakubowicz
39,USHMM,RG-50.062*0027,Panel discussion with Holocaust survivors and members of the 522nd Field Artillery Battalion
40,USHMM,RG-50.165*0028,"Oral history interview with Isadore Froiman, Adela Froiman, and Sabina Taubenfeld"
41,USHMM,RG-50.030*0401,Oral history interview with Rachel Bielicka Gurdus and Sulamif Shreyber Zhabinska
42,USHMM,RG-50.755*0004,Oral history interview with Elizabeth Davis and Fritzi Nozik
43,USHMM,RG-50.165*0035,Oral history interview with Irving Goldstein and Regina Goldstein
44,USHMM,RG-50.165*0014,Oral history interview with Frank Colb and Margaret Colb
45,USHMM,RG-50.165*0136,Oral history interview with Solomon Yehaskel and Lucy Yehaskel
46,USHMM,RG-50.165*0084,Oral history interview with Bill Neufeld and Franka Neufeld
47,USHMM,RG-50.462*0120,Oral history interview with Ina Rothschild and Elsa Jaeckel
48,USHMM,RG-50.165*0086,Oral history interview with Arthur Nunberg and Blima Nunberg
49,USHMM,RG-50.165*0009,Oral history interview with Sam Brach and Miriam Brach
50,USHMM,RG-50.165*0096,Oral history interview with Noach Rodzinek and Perel Rodzinek
51,USHMM,RG-50.165*0011,Oral history interview with Al Bukiet and Joseph Bukiet
52,USHMM,RG-50.005*0028,Oral history interview with Erika Jacoby and Malvina Engel
53,USHMM,RG-50.030*0316,Oral history interview with Jack Brauns and Avraham Tory
54,USHMM,RG-50.165*0012,Oral history interview with Leon Chadajo and Renia Chadajo
55,USHMM,RG-50.165*0083,Oral history interview with Max Neselrot and Dora Neselrot
56,USHMM,RG-50.165*0054,Oral history interview with Abraham Kessler and Frieda Kessler
57,USHMM,RG-50.150*0002,Oral history interview with Lilo Callman and Ann Callman
58,Fortunoff,HVT-4,Sylvia B. and Frances G. Holocaust testimony (HVT-4)
59,Fortunoff,HVT-12,Dora and Salo R. Holocaust testimony (HVT-12)
60,Fortunoff,HVT-13,Shmuel S. and Dora R. Holocaust testimony (HVT-13)
61,Fortunoff,HVT-14,Kurt and Trude S. Holocaust testimony (HVT-14)
62,Fortunoff,HVT-21,Doni and Anna S. Holocaust testimony (HVT-21)
63,Fortunoff,HVT-34,Rosalie W. and Jolly Z. Holocaust testimony (HVT-34)
64,Fortunoff,HVT-38,Libby and Sidney G. Holocaust testimony (HVT-38)
65,Fortunoff,HVT-57,Rose and Aaron M. Holocaust testimony (HVT-57)
66,Fortunoff,HVT-64,Arnold and Lionel R. Holocaust testimony (HVT-64)
67,Fortunoff,HVT-81,Henry and Chana F. Holocaust testimony (HVT-81)
68,Fortunoff,HVT-89,Bronia and Nathan L. Holocaust testimony (HVT-89)
69,Fortunoff,HVT-93,Jacob and Mira B. Holocaust testimony (HVT-93)
70,Fortunoff,HVT-102,Eva and Carl S. Holocaust testimony (HVT-102)
71,Fortunoff,HVT-116,Abe and Sari B. Holocaust testimony (HVT-116)
72,Fortunoff,HVT-138,Abe and David F. Holocaust testimony (HVT-138)
73,Fortunoff,HVT-140,David and Rosa G. Holocaust testimony (HVT-140)
74,Fortunoff,HVT-141,Abraham P. and Morris P. Holocaust testimony (HVT-141)
75,Fortunoff,HVT-144,Emina N. and Miriam W. Holocaust testimony (HVT-144)
76,Fortunoff,HVT-145,Leon and Molly N. Holocaust testimony (HVT-145)
77,Fortunoff,HVT-154,"Albert, Gina, and Kurt K. Holocaust testimony (HVT-154)"
78,Fortunoff,HVT-156,Lois and Abraham J. Holocaust testimony (HVT-156)
79,Fortunoff,HVT-163,Pincus and Sylvia S. Holocaust testimony (HVT-163)
80,Fortunoff,HVT-168,Ruth W. and Maryann L. Holocaust testimony (HVT-168)
81,Fortunoff,HVT-185,David and Sonia F. Holocaust testimony (HVT-185)
