,collection,shelfmark,testimony_title
0,USHMM,RG-50.030*0094,Oral history interview with Max Amichai Heppner
1,USHMM,RG-50.106*0173,Oral history interview with Alfred Lakritz
2,USHMM,RG-50.030*0475,Oral history interview with Paulette Nehama
3,USHMM,RG-50.156*0012,Oral history interview with Paulette Fink
4,USHMM,RG-50.030*0790,Oral history interview with Irene Sobczak
5,USHMM,RG-50.030*0072,Oral history interview with Anita Magnus Frank
6,USHMM,RG-50.462*0102,Oral history interview with Hebert Broh
7,USHMM,RG-50.030*0015,Oral history interview with Helene Baraf
8,USHMM,RG-50.165*0016,Oral history interview with Irena Urdang DeTour
9,USHMM,RG-50.470*0011,Oral history interview with Henry Kanner
10,USHMM,RG-50.030*0672,Oral history interview with Ed Gardner
11,USHMM,RG-50.562*0005,Oral history interview with Mark Moskovitz
12,USHMM,RG-50.060*0008,Oral history interview with Fred Blau
13,USHMM,RG-50.233*0119,Oral history interview with Norman Salsitz
14,USHMM,RG-50.030*0082,Oral history interview with Rachel Mutterperl Goldfarb
15,USHMM,RG-50.010*0040,Oral history interview with John Glustrom
16,USHMM,RG-50.322*0005,Oral history interview with Margaret Ebert
17,USHMM,RG-50.030*0183,Oral history interview with Karel Poons
18,USHMM,RG-50.150*0012,Oral history interview with Ernest Hartog
19,USHMM,RG-50.549.02*0027,Oral history interview with Jerry Slivka
20,USHMM,RG-50.030*0408,Oral history interview with John E. Dolibois
21,USHMM,RG-50.322*0003,Oral history interview with Werner Becker
22,USHMM,RG-50.243*0025,Oral history interview with Cecelia Perera
23,USHMM,RG-50.030*0158,Oral history interview with Frank Meissner
24,USHMM,RG-50.010*0058,Oral history interview with James May
25,USHMM,RG-50.233*0096,Oral history interview with Sylvia Murawski
26,USHMM,RG-50.470*0016,Oral history interview with James Moncrief
27,USHMM,RG-50.030*0079,Oral history interview with Marty Glickman
28,USHMM,RG-50.030*0677,Oral history interview with Sylvia Rosen
29,USHMM,RG-50.154*0021,Oral history interview with Frank Nathanson
30,USHMM,RG-50.154*0026,Oral history interview with Ilona Stein
31,USHMM,RG-50.030*0455,Oral history interview with Juergen Simonson
32,USHMM,RG-50.462*0098,Oral history interview with Sylvia Schneider
33,USHMM,RG-50.322*0027,Oral history interview with Bernice Muler
34,USHMM,RG-50.154*0024,Oral history interview with Anita Simons
35,USHMM,RG-50.150*0044,Oral history interview with Fred Wittner
36,USHMM,RG-50.042*0006,Oral history interview with Frank Blaichman
37,USHMM,RG-50.165*0123,Oral history interview with William Ungar
38,USHMM,RG-50.154*0015,Oral history interview with Jacob Leinwand
39,USHMM,RG-50.030*0095,Oral history interview with Ernest G. Heppner
40,USHMM,RG-50.156*0060,Oral history interview with Sabina Zimering
41,USHMM,RG-50.233*0104,Oral history interview with Janina Prot
42,USHMM,RG-50.030*0280,Oral history interview with Max Hersch
43,USHMM,RG-50.233*0074,Oral history interview with Margaret Lipton
44,USHMM,RG-50.549.02*0036,Oral history interview with Leo Hanin
45,USHMM,RG-50.030*0364,Oral history interview with Bent Melchior
46,USHMM,RG-50.165*0034,Oral history interview with Jack Goldreich
47,USHMM,RG-50.030*0268,Oral history interview with William Denson
48,USHMM,RG-50.156*0026,Oral history interview with Felix Kaminsky
49,USHMM,RG-50.549.05*0003,Oral history interview with Justine Lerner
50,USHMM,RG-50.030*0657,Oral history interview with Pranas Jurkus
51,USHMM,RG-50.549.02*0040,Oral history interview with Preben Munch Nielsen
52,USHMM,RG-50.030*0295,Oral history interview with Samuel Flor
