,collection,shelfmark,testimony_title
84,USHMM,RG-50.165*0093,Oral history interview with Manny Ragen and Shirley Ragen
89,USHMM,RG-50.156*0054,Oral history interview with Maria Speiwak and Danuta Trybus
96,USHMM,RG-50.030*0430,Oral history interview with Bert Fleming and Irene Fleming
130,USHMM,RG-50.062*0008,Crystal Night oral history interview
156,USHMM,RG-50.165*0029,Oral history interview with Ben Geizhals and Esther Geizhals
181,USHMM,RG-50.030*0336,Oral history interview with Theodore Feder and Herbert Katzki
225,USHMM,RG-50.031*0056,Oral history interview with Ernest Pollack and Ilse Pollack
261,USHMM,RG-50.165*0102,Oral history interview with Albert Schimel and Helen Schimel
281,USHMM,RG-50.030*0535,"Oral history interview with Lucie Ragin, Joyce Mizrachi, and André Zalc"
288,USHMM,RG-50.030*0745,"Oral history interview with Frank Towers, ""The Death Train at Farsleben"""
294,USHMM,RG-50.165*0036,Oral history interview with Isaac Goodfriend and Betty Goodfriend
325,USHMM,RG-50.549.02*0014,Oral history interview with Chaim Engel and Selma Saartje Engel
357,USHMM,RG-50.156*0007,Oral history interview with Mary Ackos Calof and Evelyn Ackos Ettinger
383,USHMM,RG-50.165*0100,Oral history interview with Benjamin Rubinstein and Judy Rubinstein
402,USHMM,RG-50.165*0033,Oral history interview with Israel Goldman and Louis Goldman
403,USHMM,RG-50.165*0062,"Oral history interview with Yisroel Leifer, Izzy Raab, and Esther Raab"
411,USHMM,RG-50.028*0052,Oral history interview with Joseph Schoen and Mary Schoen
419,USHMM,RG-50.165*0081,Oral history interview with Sam Natansohn and Sidi Natansohn
422,USHMM,RG-50.165*0103,Oral history interview with Joe Schlesinger and Edith Schlesinger
426,USHMM,RG-50.165*0004,Oral history interview with Morris Berkowitz and Sarah Berkowitz
434,USHMM,RG-50.322*0011,Oral history interview with Robert Feist and Ruth Feist
443,USHMM,RG-50.030*0320,Oral history interview with Irene Hizme and Rene Slotkin
460,USHMM,RG-50.030*0221,Oral history interview with Adam Starkopf and Pela Starkopf
494,USHMM,RG-50.165*0132,Oral history interview with Jack Werber and Millie Werber
495,USHMM,RG-50.233*0056,Oral history interview with Irene Hizme and Rene Slotkin
523,USHMM,RG-50.165*0056,Oral history interview with Isaac Kowalski and Masha Kowalski
566,USHMM,RG-50.012*0071,Oral history interview with Marion Pritchard and Tony Pritchard
571,USHMM,RG-50.030*0382,Oral history interview with William Zeck and Belle Mayer Zeck
593,USHMM,RG-50.031*0061,Oral history interview with Ruth Rehbock and Ralph Rehbock
618,USHMM,RG-50.549.02*0015,Oral history interview with Johanna Liebmann and Max Liebmann
660,USHMM,RG-50.030*0687,"Oral history interview with Ernest E. Dutcher, Jr."
661,USHMM,RG-50.165*0111,Oral history interview with Maury Spira and Sylvia Spira
669,USHMM,RG-50.234*0022,"Oral history interview with Arieh Pinchuk, Dan Hiram, and Daniel Dagen"
691,USHMM,RG-50.031*0065,"Oral history interview with Hannelore Silverman, Sol Schindel, and several unnamed people"
712,USHMM,RG-50.030*0446,Oral history interview with Helen Tichauer and Anna Palarczyk
807,USHMM,RG-50.165*0053,Oral history interview with Morris Kesselman and Rita Kesselman
813,USHMM,RG-50.030*0315,Oral history interview with Joel Elkes and Avraham Tory
814,USHMM,RG-50.005*0019,"Oral history group interview with Barbara Gerson, Barry Bruk, Marion Chervin, Sophie Weinstein, and Fred Diament"
830,USHMM,RG-50.165*0137,Oral history interview with Albert Zeder and Naomi Zeder
854,USHMM,RG-50.165*0049,Oral history interview with Salomon Jakubowicz and Frieda Jakubowicz
870,USHMM,RG-50.062*0027,Panel discussion with Holocaust survivors and members of the 522nd Field Artillery Battalion
954,USHMM,RG-50.165*0028,"Oral history interview with Isadore Froiman, Adela Froiman, and Sabina Taubenfeld"
989,USHMM,RG-50.062*0026,Oral history interview with members of the 522nd Field Artillery Battalion
1012,USHMM,RG-50.030*0401,Oral history interview with Rachel Bielicka Gurdus and Sulamif Shreyber Zhabinska
1022,USHMM,RG-50.755*0004,Oral history interview with Elizabeth Davis and Fritzi Nozik
1077,USHMM,RG-50.165*0035,Oral history interview with Irving Goldstein and Regina Goldstein
1101,USHMM,RG-50.165*0014,Oral history interview with Frank Colb and Margaret Colb
1116,USHMM,RG-50.165*0136,Oral history interview with Solomon Yehaskel and Lucy Yehaskel
1184,USHMM,RG-50.165*0084,Oral history interview with Bill Neufeld and Franka Neufeld
1191,USHMM,RG-50.462*0120,Oral history interview with Ina Rothschild and Elsa Jaeckel
1252,USHMM,RG-50.165*0086,Oral history interview with Arthur Nunberg and Blima Nunberg
1268,USHMM,RG-50.165*0009,Oral history interview with Sam Brach and Miriam Brach
1296,USHMM,RG-50.165*0096,Oral history interview with Noach Rodzinek and Perel Rodzinek
1344,USHMM,RG-50.165*0011,Oral history interview with Al Bukiet and Joseph Bukiet
1358,USHMM,RG-50.005*0028,Oral history interview with Erika Jacoby and Malvina Engel
1384,USHMM,RG-50.030*0316,Oral history interview with Jack Brauns and Avraham Tory
1467,USHMM,RG-50.165*0012,Oral history interview with Leon Chadajo and Renia Chadajo
1480,USHMM,RG-50.165*0083,Oral history interview with Max Neselrot and Dora Neselrot
1494,USHMM,RG-50.165*0054,Oral history interview with Abraham Kessler and Frieda Kessler
1496,USHMM,RG-50.150*0002,Oral history interview with Lilo Callman and Ann Callman
1517,Fortunoff,HVT-4,Sylvia B. and Frances G. Holocaust testimony (HVT-4)
1525,Fortunoff,HVT-12,Dora and Salo R. Holocaust testimony (HVT-12)
1526,Fortunoff,HVT-13,Shmuel S. and Dora R. Holocaust testimony (HVT-13)
1527,Fortunoff,HVT-14,Kurt and Trude S. Holocaust testimony (HVT-14)
1534,Fortunoff,HVT-21,Doni and Anna S. Holocaust testimony (HVT-21)
1547,Fortunoff,HVT-34,Rosalie W. and Jolly Z. Holocaust testimony (HVT-34)
1551,Fortunoff,HVT-38,Libby and Sidney G. Holocaust testimony (HVT-38)
1570,Fortunoff,HVT-57,Rose and Aaron M. Holocaust testimony (HVT-57)
1574,Fortunoff,HVT-61,Joseph K. Holocaust testimony (HVT-61)
1577,Fortunoff,HVT-64,Arnold and Lionel R. Holocaust testimony (HVT-64)
1594,Fortunoff,HVT-81,Henry and Chana F. Holocaust testimony (HVT-81)
1602,Fortunoff,HVT-89,Bronia and Nathan L. Holocaust testimony (HVT-89)
1606,Fortunoff,HVT-93,Jacob and Mira B. Holocaust testimony (HVT-93)
1607,Fortunoff,HVT-94,B. family Holocaust testimony (HVT-94)
1609,Fortunoff,HVT-96,Erich G. Holocaust testimony (HVT-96)
1615,Fortunoff,HVT-102,Eva and Carl S. Holocaust testimony (HVT-102)
1629,Fortunoff,HVT-116,Abe and Sari B. Holocaust testimony (HVT-116)
1651,Fortunoff,HVT-138,Abe and David F. Holocaust testimony (HVT-138)
1653,Fortunoff,HVT-140,David and Rosa G. Holocaust testimony (HVT-140)
1654,Fortunoff,HVT-141,Abraham P. and Morris P. Holocaust testimony (HVT-141)
1655,Fortunoff,HVT-144,Emina N. and Miriam W. Holocaust testimony (HVT-144)
1656,Fortunoff,HVT-145,Leon and Molly N. Holocaust testimony (HVT-145)
1665,Fortunoff,HVT-154,"Albert, Gina, and Kurt K. Holocaust testimony (HVT-154)"
1667,Fortunoff,HVT-156,Lois and Abraham J. Holocaust testimony (HVT-156)
1674,Fortunoff,HVT-163,Pincus and Sylvia S. Holocaust testimony (HVT-163)
1679,Fortunoff,HVT-168,Ruth W. and Maryann L. Holocaust testimony (HVT-168)
1696,Fortunoff,HVT-185,David and Sonia F. Holocaust testimony (HVT-185)
