,collection,shelfmark,testimony_title
0,USHMM,RG-50.030*0042,Oral history interview with Charles Bruml
1,USHMM,RG-50.030*0094,Oral history interview with Max Amichai Heppner
2,USHMM,RG-50.030*0098,Oral history interview with Miriam Farcus Ingber
3,USHMM,RG-50.106*0173,Oral history interview with Alfred Lakritz
4,USHMM,RG-50.030*0475,Oral history interview with Paulette Nehama
5,USHMM,RG-50.156*0012,Oral history interview with Paulette Fink
6,USHMM,RG-50.030*0790,Oral history interview with Irene Sobczak
7,USHMM,RG-50.030*0072,Oral history interview with Anita Magnus Frank
8,USHMM,RG-50.030*0459,Oral history interview with George Kadar
9,USHMM,RG-50.470*0008,Oral history interview with Irving Heymont
10,USHMM,RG-50.030*0015,Oral history interview with Helene Baraf
11,USHMM,RG-50.165*0016,Oral history interview with Irena Urdang DeTour
12,USHMM,RG-50.470*0011,Oral history interview with Henry Kanner
13,USHMM,RG-50.030*0672,Oral history interview with Ed Gardner
14,USHMM,RG-50.562*0005,Oral history interview with Mark Moskovitz
15,USHMM,RG-50.060*0008,Oral history interview with Fred Blau
16,USHMM,RG-50.233*0119,Oral history interview with Norman Salsitz
17,USHMM,RG-50.462*0118,Oral history interview with Albert Miller
18,USHMM,RG-50.462*0081,Oral history interview with Judy Freeman
19,USHMM,RG-50.010*0040,Oral history interview with John Glustrom
20,USHMM,RG-50.322*0005,Oral history interview with Margaret Ebert
21,USHMM,RG-50.030*0183,Oral history interview with Karel Poons
22,USHMM,RG-50.150*0012,Oral history interview with Ernest Hartog
23,USHMM,RG-50.549.02*0027,Oral history interview with Jerry Slivka
24,USHMM,RG-50.030*0408,Oral history interview with John E. Dolibois
25,USHMM,RG-50.322*0003,Oral history interview with Werner Becker
26,USHMM,RG-50.243*0025,Oral history interview with Cecelia Perera
27,USHMM,RG-50.030*0158,Oral history interview with Frank Meissner
28,USHMM,RG-50.030*0227,Oral history interview with Paul Strassmann
29,USHMM,RG-50.010*0058,Oral history interview with James May
30,USHMM,RG-50.470*0016,Oral history interview with James Moncrief
31,USHMM,RG-50.030*0079,Oral history interview with Marty Glickman
32,USHMM,RG-50.030*0677,Oral history interview with Sylvia Rosen
33,USHMM,RG-50.030*0306,Oral history interview with Arnold Einhorn
34,USHMM,RG-50.154*0021,Oral history interview with Frank Nathanson
35,USHMM,RG-50.154*0026,Oral history interview with Ilona Stein
