,collection,shelfmark,testimony_title
0,USHMM,RG-50.010*0040,Oral history interview with John Glustrom
1,USHMM,RG-50.150*0012,Oral history interview with Ernest Hartog
2,USHMM,RG-50.656*0001,Oral history interview with Irene Hutton
3,USHMM,RG-50.010*0054,Oral history interview with Jesse Lafoon
4,USHMM,RG-50.150*0021,Oral history interview with Curt Jellin
5,USHMM,RG-50.150*0033,Oral history interview with Kurt Schloss
6,USHMM,RG-50.150*0026,Oral history interview with Ilse Marcus
7,USHMM,RG-50.165*0036,Oral history interview with Isaac Goodfriend and Betty Goodfriend
8,USHMM,RG-50.010*0025,Oral history interview with Edward John di Gilio
9,USHMM,RG-50.150*0009,Oral history interview with Miriam Gerber
10,USHMM,RG-50.010*0015,Oral history interview with Zew Budansky
11,USHMM,RG-50.233*0121,Oral history interview with Michael Scislowski
12,USHMM,RG-50.010*0032,Oral history interview with Ari Falik
13,USHMM,RG-50.010*0082,Oral history interview with William A. Scott
14,USHMM,RG-50.150*0022,Oral history interview with Miriam Knoepfler
15,USHMM,RG-50.010*0072,Oral history interview with William W. Quinn
16,USHMM,RG-50.150*0042,Oral history interview with Ruth Wertheimes
17,USHMM,RG-50.010*0016,Oral history interview with David Campbell
18,USHMM,RG-50.165*0137,Oral history interview with Albert Zeder and Naomi Zeder
19,USHMM,RG-50.010*0013,Oral history interview with Kenneth Bowers
20,USHMM,RG-50.010*0019,Oral history interview with Franklin Lee Clark
21,USHMM,RG-50.010*0022,Oral history interview with Kenneth W. Cotton
22,USHMM,RG-50.010*0017,Oral history interview with Philip Carlquist
23,USHMM,RG-50.233*0008,Oral history interview with Alice Bogart
24,USHMM,RG-50.233*0092,Oral history interview with Abe Morgenstern
25,USHMM,RG-50.233*0111,Oral history interview with Henry Robertson
26,USHMM,RG-50.165*0030,Oral history interview with Elizabeth Gevirtz
27,USHMM,RG-50.165*0136,Oral history interview with Solomon Yehaskel and Lucy Yehaskel
28,USHMM,RG-50.165*0018,Oral history interview with Eva Ebin
29,USHMM,RG-50.150*0032,Oral history interview with Gretel Rothschild
30,USHMM,RG-50.150*0024,Oral history interview with Irene Lewis
31,USHMM,RG-50.010*0018,Oral history interview with William Cartledge
32,USHMM,RG-50.233*0102,Oral history interview with Catherine Polak
33,USHMM,RG-50.010*0064,Oral history interview with Lauren Nash
34,USHMM,RG-50.920*0006,Oral history interview with Morton Waitzman
35,USHMM,RG-50.150*0015,Oral history interview with G. Hirschfeld
36,USHMM,RG-50.031*0070,Oral history interview with Manfred Steinfeld
37,USHMM,RG-50.150*0041,Oral history interview with Ellen Wall
38,USHMM,RG-50.150*0018,Oral history interview with Irmgard Horn
39,USHMM,RG-50.010*0028,Oral history interview with Joseph Drewry
40,USHMM,RG-50.165*0131,Oral history interview with Charlotte Wendel
41,USHMM,RG-50.233*0034,Oral history interview with Alma Goldberg
42,USHMM,RG-50.150*0030,Oral history interview with Arthur Plaut
43,USHMM,RG-50.165*0083,Oral history interview with Max Neselrot and Dora Neselrot
